,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 1,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DEL ÍNDICE DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Número)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,CIIU,Descripción,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
3,C108,Elaboración de alimentos preparados para animales.,94.07,94.27,98.88,95.35,99.23,94.47,92.58,98.78,90.59,94.21,86.76,95.66,82.28,90.59,102.75,93.65,97.46,95.37,96.48,108.08,100.35,108.10,105.35,93.91,98.85,86.51,101.69,94.65,102.34,91.32,95.23,96.54,84.43,103.34,95.24,79.60,99.09,88.77,95.33,94.97,96.77,87.42,95.21,91.32,88.72,92.04,83.93,91.49,93.57,80.11,81.83,82.63,79.53,80.07,83.27,81.11,86.25
2,C11,Elaboración de bebidas.,95.29,90.79,94.21,94.01,98.50,95.53,101.96,102.42,99.82,91.08,89.19,108.73,83.83,75.50,78.97,73.93,77.68,81.35,81.83,69.28,72.76,76.27,84.25,83.06,65.74,72.95,67.04,77.94,78.64,75.84,63.62,75.03,71.19,73.69,77.81,86.27,65.66,65.98,71.95,78.49,73.27,64.95,56.25,63.03,57.68,56.84,59.23,72.91,53.16,56.87,38.55,20.39,34.47,58.84,64.42,63.24,72.57
3,C110,Elaboración de bebidas.,95.29,90.79,94.21,94.01,98.50,95.53,101.96,102.42,99.82,91.08,89.19,108.73,83.83,75.50,78.97,73.93,77.68,81.35,81.83,69.28,72.76,76.27,84.25,83.06,65.74,72.95,67.04,77.94,78.64,75.84,63.62,75.03,71.19,73.69,77.81,86.27,65.66,65.98,71.95,78.49,73.27,64.95,56.25,63.03,57.68,56.84,59.23,72.91,53.16,56.87,38.55,20.39,34.47,58.84,64.42,63.24,72.57
2,C12,Elaboración de productos de tabaco.,78.28,63.96,68.81,59.43,31.91,66.56,78.80,53.92,53.92,53.92,58.29,64.02,47.72,42.30,51.77,52.57,37.46,50.87,47.38,50.05,55.18,53.57,43.94,43.70,51.53,42.69,50.18,49.67,45.45,52.84,51.68,48.28,39.28,47.83,34.84,49.24,87.16,57.24,48.85,45.29,45.79,41.75,46.23,42.55,38.78,47.53,42.84,64.67,64.67,64.67,45.15,35.36,35.36,35.36,38.06,34.55,34.55
3,C120,Elaboración de productos de tabaco.,78.28,63.96,68.81,59.43,31.91,66.56,78.80,53.92,53.92,53.92,58.29,64.02,47.72,42.30,51.77,52.57,37.46,50.87,47.38,50.05,55.18,53.57,43.94,43.70,51.53,42.69,50.18,49.67,45.45,52.84,51.68,48.28,39.28,47.83,34.84,49.24,87.16,57.24,48.85,45.29,45.79,41.75,46.23,42.55,38.78,47.53,42.84,64.67,64.67,64.67,45.15,35.36,35.36,35.36,38.06,34.55,34.55
2,C13,Fabricación de productos textiles.,70.91,94.81,135.82,146.46,157.36,137.43,122.94,116.56,129.58,135.09,157.65,154.15,137.82,147.70,151.71,126.48,112.54,101.03,99.67,105.71,115.12,97.04,132.65,107.27,103.57,104.07,122.82,116.42,124.57,136.11,135.90,132.69,88.29,96.57,87.28,84.78,74.47,84.47,89.56,89.93,88.44,83.80,96.33,87.81,93.36,96.81,102.00,105.51,116.29,119.67,102.68,91.88,129.46,143.57,188.15,184.74,194.41
3,C131,"Hilatura, tejedura y acabados de productos textiles.",74.77,105.25,165.88,189.94,184.64,152.10,138.38,119.45,146.95,154.71,187.01,181.24,162.89,176.53,195.68,155.60,131.73,114.19,113.29,122.20,134.08,104.80,161.83,122.31,123.75,120.45,146.66,136.14,141.35,135.93,146.29,150.23,86.78,78.73,77.69,74.54,70.73,83.98,85.04,88.74,89.87,86.82,99.00,84.44,88.23,93.72,93.83,90.54,123.52,135.63,124.48,114.51,164.80,183.67,238.38,240.94,253.71
3,C139,Fabricación de otros productos textiles.,63.66,75.20,79.40,64.86,106.15,109.88,93.95,111.13,96.96,98.25,102.55,103.30,90.76,93.59,69.16,71.81,76.50,76.33,74.10,74.74,79.53,82.49,77.88,79.03,65.68,73.33,78.07,79.43,93.07,136.45,116.38,99.76,91.13,130.05,105.28,104.00,81.50,85.40,98.05,92.18,85.74,78.14,91.31,94.15,103.01,102.60,117.34,133.63,102.72,89.72,61.75,49.40,63.10,68.29,93.88,79.25,83.09
2,C14,Fabricación de prendas de vestir.,65.22,51.06,64.30,86.15,96.32,58.29,62.82,65.35,57.30,57.44,68.81,70.77,41.38,45.35,51.27,54.52,51.01,48.59,52.22,52.10,50.40,53.47,57.81,63.72,44.75,43.70,54.81,55.73,51.19,42.67,48.10,69.99,48.84,47.31,48.19,54.46,42.07,57.02,83.39,79.23,52.16,40.41,49.16,60.87,46.43,44.41,46.06,62.95,65.60,57.32,38.17,33.28,36.27,43.77,49.36,48.08,49.97
3,C141,"Fabricación de prendas de vestir, excepto prendas de piel.",64.23,50.37,60.14,87.42,98.21,57.20,62.03,63.73,56.22,59.10,69.65,72.97,42.79,46.20,51.34,54.95,52.01,49.19,52.73,52.03,51.32,54.96,58.76,63.54,46.29,44.88,55.62,56.88,52.07,43.13,48.17,71.16,47.33,48.07,48.48,55.49,43.22,58.60,88.05,82.64,54.34,41.34,51.07,62.89,48.13,46.11,48.28,65.56,69.31,60.53,40.04,34.93,38.33,46.42,52.30,50.58,52.43
